Have you seen how much Ranch 99 is trying to charge!!,,"I bought this 6 pack because for the price that my local Ranch 99 was trying to charge, I could buy 3 through Amazon.  Product is identical and managed to save tons of money on sauce I use on everything."
Love this stuff,,"We use it on fish sticks, chicken, burgers, meatloaf, rice, etc.  It's similar to country bob sauce, but a little sweeter."
There are better gluten-free breads...,,This bread is very dry and crumbly compared to the other major brand. Will definitely not be switching from my usual brand (without the 'R').
"Good value, not as flavorful as some",,"We always drink the vanilla flavored coffee so I've gotten to know quite a few brands.  This one is good, but not the best (that's why I rated it 4 stars)."
"Vanilla Nut, Organic Whole Bean Coffee",,"I like the flavor, but it is very weak for me. I am not really a person who likes really strong coffee, but this is just very weak coffee."
Getting harder to find,,"These were perfect, and a brand I am familiar with. Now I have a good source for them."
Good,,"Great tasting buttery beans in huge packages.  I enjoyed them.  I didn't follow the instructions exactly, but just made them as I normally make beans and they came out great."
Add Ham Hock for a feast,,These beans are just about perfection.  They are firm yet tender and the flavor is exactly right.  The large packages are easy to store and make a great addition to lots of meals.  Thanks for a nearly perfect product.
Disappointed,,"I bought these beans hoping they would be good quality, but I was disappointed upon opening the package to see how many broken beans there were and how much dust was at the bottom of each bag.<br /><br />Those which weren't split in the bag came apart during the soaking.  This means my cooked beans will look even worse<br /><br />I am used to Greek 'giant limas', which soak to become huge and remain whole in the process. Now I've got a huge quantity of a product I don't want.<br /><br />I was annoyed to see that Amazon will not accept returns for food products, because I think this is really inferior quality."
SUPERB!,,"Ordinarily, you have to pick through packages of lima beans and sort out the chipped, split and discolored ones.  Not so with these ivory colored limas, all perfectly formed and unblemished.  All you have to do is rinse.<br /><br />I didn't soak them overnight as per instructed.  Just soaked them in hot water for an hour, rinsed, and then cooked until done.  They worked out fine and they make a very smooth, tasty bean.<br /><br />There is a most interesting recipe on the packets called ""Cool Lima Beans and Couscous Salad"" which I can't wait to make.  It requires olive oil, sherry vinegar, ground cumin, red and green bell peppers and other ingredients.  The couscous they recommend is Golden.  Bob's Red Mill also has this product.  Yum!<br /><br />These beans are natural and, of course, they are large.  I'm going to make them a permanent staple in my home."
